Device,Page,Register Address,Register Name,Register Value,

A,0,0x00,PAGE_CFG,0x00,

A,0,0x02,SLEEP_CFG,0x81,

A,0,0x07,ASI_CFG0,0x70,

A,0,0x0B,ASI_CH1,0x00,
A,0,0x0C,ASI_CH2,0x00,
A,0,0x0D,ASI_CH3,0x20,
A,0,0x0E,ASI_CH4,0x03,

A,0,0x13,MST_CFG0,0x87,
A,0,0x14,MST_CFG1,0x64,


A,0,0x17,CLOCK_CFG,0x90,
A,0,0x04,CLOCK_ERROR,0x40,

A,0,0x21,GPIO_CFG0,0xA2,

A,0,0x22,GPO_CFG0,0x00,

A,0,0x2B,GPI_CFG0,0x00,


A,0,0x3C,CH1_CFG0,0x00,
A,0,0x3D,CH1_CFG1,0x00,
A,0,0x3E,CH1_CFG2,0xC9,

A,0,0x41,CH2_CFG0,0x80,
A,0,0x42,CH2_CFG1,0xA8,
A,0,0x43,CH2_CFG2,0xC9,

A,0,0x46,CH3_CFG0,0x80,
A,0,0x47,CH3_CFG1,0xA8,
A,0,0x48,CH3_CFG2,0xc9,

A,0,0x4b,CH4_CFG0,0x00,
A,0,0x4c,CH4_CFG1,0x00,
A,0,0x4d,CH4_CFG2,0xc9,


A,0,0x73,IN_CH_EN,0x60,
A,0,0x74,ASI_OUT_CH_EN,0x60,


A,0,0x00,PAGE_CFG,0x00,

A,0,0x1E,N DIVIDER,0x82,
A,0,0x1F,M DIVIDER,0xC0,

A,0,0x75,PWR_CFG,0xE0,
