Device,Page,Register Address,Register Name,Register Value,
A,0,0x01,SW_RESET,0x00,
A,0,0x02,SLEEP_CFG,0x81,
A,0,0x05,SHDN_CFG,0x05,
A,0,0x07,ASI_CFG0,0x8e,
A,0,0x08,ASI_CFG1,0x00,
A,0,0x09,ASI_CFG2,0x00,
A,0,0x0B,ASI_CH1,0x00,
A,0,0x0C,ASI_CH2,0x20,
A,0,0x0D,ASI_CH3,0x02,
A,0,0x0E,ASI_CH4,0x03,
A,0,0x0F,ASI_CH5,0x04,
A,0,0x10,ASI_CH6,0x05,
A,0,0x11,ASI_CH7,0x06,
A,0,0x12,ASI_CH8,0x07,
A,0,0x13,MST_CFG0,0x87,
A,0,0x14,MST_CFG1,0x62,
A,0,0x15,ASI_STS,0xff,
A,0,0x16,CLK_SRC,0x10,
A,0,0x1F,PDMCLK_CFG,0x40,
A,0,0x20,PDMIN_CFG,0x00,
A,0,0x21,GPIO_CFG0,0xa0,
A,0,0x22,GPO_CFG0,0x41,
A,0,0x23,GPO_CFG1,0x00,
A,0,0x24,GPO_CFG2,0x00,
A,0,0x25,GPO_CFG3,0x00,
A,0,0x29,GPO_VAL,0x00,
A,0,0x2A,GPIO_MON,0x00,
A,0,0x2B,GPI_CFG0,0x40,
A,0,0x2C,GPI_CFG1,0x00,
A,0,0x2F,GPI_MON,0x00,
A,0,0x32,INT_CFG,0x00,
A,0,0x33,INT_MASK0,0xff,
A,0,0x36,INT_LTCH0,0x00,
A,0,0x3B,BIAS_CFG,0x10,
A,0,0x3C,CH1_CFG0,0x40,
A,0,0x3D,CH1_CFG1,0x00,
A,0,0x3E,CH1_CFG2,0xff,
A,0,0x3F,CH1_CFG3,0x80,
A,0,0x40,CH1_CFG4,0x00,
A,0,0x41,CH2_CFG0,0x40,
A,0,0x42,CH2_CFG1,0x00,
A,0,0x43,CH2_CFG2,0x00,
A,0,0x44,CH2_CFG3,0x80,
A,0,0x45,CH2_CFG4,0x00,
A,0,0x46,CH3_CFG0,0x40,
A,0,0x47,CH3_CFG1,0x00,
A,0,0x48,CH3_CFG2,0xc9,
A,0,0x49,CH3_CFG3,0x80,
A,0,0x4A,CH3_CFG4,0x00,
A,0,0x4B,CH4_CFG0,0x40,
A,0,0x4C,CH4_CFG1,0x00,
A,0,0x4D,CH4_CFG2,0xc9,
A,0,0x4E,CH4_CFG3,0x80,
A,0,0x4F,CH4_CFG4,0x00,
A,0,0x52,CH5_CFG2,0xc9,
A,0,0x53,CH5_CFG3,0x80,
A,0,0x54,CH5_CFG4,0x00,
A,0,0x57,CH6_CFG2,0xc9,
A,0,0x58,CH6_CFG3,0x80,
A,0,0x59,CH6_CFG4,0x00,
A,0,0x5C,CH7_CFG2,0xc9,
A,0,0x5D,CH7_CFG3,0x80,
A,0,0x5E,CH7_CFG4,0x00,
A,0,0x61,CH8_CFG2,0xc9,
A,0,0x62,CH8_CFG3,0x80,
A,0,0x63,CH8_CFG4,0x00,
A,0,0x6B,DSP_CFG0,0x01,
A,0,0x6C,DSP_CFG1,0x40,
A,0,0x6D,DRE_CFG0,0x7b,
A,0,0x70,AGC_CFG0,0xe7,
A,0,0x73,IN_CH_EN,0x80,
A,0,0x74,ASI_OUT_CH_EN,0x80,
A,0,0x75,PWR_CFG,0xe0,
A,0,0x76,DEV_STS0,0x00,
A,0,0x77,DEV_STS1,0x80,
A,0,0x7E,I2C_CKSUM,0x00
